"운영형태","관리기관명","주차장명","주차장관리번호","소재지지번주소","소재지도로명주소","전화번호","주차장유형","주차구획수","평일운영시작시각","평일운영종료시각","토요일운영시작시각","토요일운영종료시각","공휴일운영시작시각","공휴일운영종료시각","급지구분","주차기본요금","1일주차권요금","월정기권요금","위도","경도","데이터기준일자","주차장구분","부제시행구분","운영요일","요금정보","주차기본시간","추가단위시간","추가단위요금","1일주차권요금적용시간","결제방법","특기사항","실시간주차면수"
"민간운영","부산광역시 기장군청","1구역 1소","2009000001","-","기장군 기장읍 278-3","051-792-4719","노상","34","09:00","20:00","-","-","-","-","2","200","8000","0","-","-","08/05/2014","공영","-","-","-","10","10","200","-","-","-","-"
"구(군)직영","부산광역시 기장군청","임랑해수욕장 주변(행정봉사실 옆)","2016000001","-","기장군 장안읍 1-5","-","노외","51","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","장안읍 임랑리 아름마을","2016000002","-","기장군 장안읍 380-5","-","노외","17","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","장안사 진입도로변","2016000003","-","기장군 장안읍 686-1","-","노외","106","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","길천마을","2016000004","-","기장군 장안읍 255-8","-","노외","55","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","오리 대룡마을","2016000005","-","기장군 장안읍 141-8","-","노외","37","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","좌천 재래시장","2016000006","-","기장군 장안읍 45-8","-","노외","55","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","상장안마을 공영주차장","2016000007","-","기장군 장안읍 412-3","-","노외","35","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","하장안마을 공영주차장","2016000008","-","기장군 장안읍 120-3","-","노외","28","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","마지마을 공영주차장","2016000009","-","기장군 철마면 304-3","-","노외","29","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","일광해수욕장 주변","2016000010","-","기장군 일광면 720","-","노상","52","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","한신아파트 앞 주변 이면도로","2016000011","-","기장군 기장읍 484","-","노상","18","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","동산그린타워 주변 이면도로","2016000012","-","기장군 기장읍 448","-","노상","63","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","포스코아파트 앞 주변도로","2016000013","기장군 차성동로116번길 1 (기장읍 동부리 374-16)","-","-","노상","13","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","청강리 기장병원 주변 이면도로","2016000014","-","기장군 기장읍 305","-","노상","190","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","09/20/2019","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","일광면사무소 주변","2016000015","-","기장군 일광면 54-2","-","노상","30","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 기장군청","정관면 달산리 성림아파트 전면도로","2016000016","기장군 정관로 744-41 (정관읍 달산리 141-5)","-","-","노상","8","00:00","00:00","00:00","00:00","00:00","00:00","기타","0","0","0","-","-","04/27/2016","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","엄궁동우체국주변","2007001788","-","사상구 엄궁동 522-7","051-310-4501","노외","7","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"민간위탁","부산광역시 사상구청","감전중천주변","2007011323","사상구 새벽시장로56번가길 63 (감전동 150-1)","-","051-310-4503","노상","189","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.977","35.154","12/06/2019","공영","-","-","-","10","10","100","-","-","-","-"
"시설관리공단위탁","부산광역시 사상구청","도시철도 냉정역","2007011149","-","사상구 주례2동 1233-1","010-8521-2233","노외","82","00:00","24:00","00:00","24:00","00:00","24:00","3","200","4700","90000","-","-","12/27/2018","공영","-","-","-","10","10","200","-","-","-","-"
"구(군)직영","부산광역시 사상구청","엄광길주변","2007001421","-","사상구 주례2동 1285-18","051-310-4501","노외","9","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","덕포시장주변","2007001780","-","사상구 덕포2동 419-2","051-310-4501","노외","23","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"민간위탁","부산광역시 사상구청","동영공업주변","2007001207","사상구 감전천로 84 (학장동 748-9)","-","051-310-4503","노상","414","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.975","35.141","06/03/2019","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","위생처리장주변","2007001169","사상구 낙동대로943번길 157 (감전동 509-11)","-","051-310-4502","노상","271","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.969","35.137","01/22/2020","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","학장지구대주변","2007001147","사상구 학장로135번길 24-9 (학장동 237-2)","-","051-310-4502","노상","225","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.983","35.143","05/30/2019","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","감전중고차시장주변","2007001083","사상구 학감대로221번길 26 (감전동 156-1)","-","051-310-4502","노상","108","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.989","35.151","01/11/2019","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","해표사료주변","2007001479","사상구 새벽시장로9번길 28 (감전동 127-1)","-","051-310-4503","노상","105","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.976","35.157","04/15/2019","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","동서고가도로밑주변","2007001240","사상구 백양대로445번길 2 (주례동 394)","-","051-310-4503","노상","90","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","129.003","35.152","12/11/2018","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","주례역주변 복개","2009000015","-","사상구 주례3동 1233-7","010-2269-3006","노외","87","09:00","20:00","09:00","20:00","10:00","18:00","2","300","8000","0","-","-","12/27/2018","공영","-","-","-","10","10","300","-","-","-","-"
"구(군)직영","부산광역시 사상구청","한마음주변","2009000016","-","사상구 삼락동 411-2","051-310-4501","노외","18","19:00","20:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/15/2014","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","냉정역4번출구주변","2009000020","-","사상구 주례2동 24-2","051-310-4501","노외","14","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/15/2014","공영","-","-","-","10","10","0","-","-","-","-"
"민간위탁","부산광역시 사상구청","엄궁외식1번가주변","2010000003","사상구 농산물시장로 36 (엄궁동 652-7)","-","051-310-4503","노상","1","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.967","35.127","12/12/2018","공영","-","-","-","10","10","100","-","-","-","-"
"구(군)직영","부산광역시 사상구청","감전시장주변","2010000006","-","사상구 감전동 120-31","051-310-4501","노외","8","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","동주윗길2주변","2010000007","-","사상구 주례3동 544-27","051-310-4501","노외","5","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","동주윗길3주변","2010000008","-","사상구 주례3동 544-52","051-310-4501","노외","4","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","엄궁목장길주변","2010000011","-","사상구 엄궁동 186-5","051-310-4501","노외","15","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","학진초등학교주변","2010000012","-","사상구 엄궁동 25-7","051-310-4501","노외","11","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"민간위탁","부산광역시 중구청","부산데파트 뒤 노상공영주차장","2007001008","중구 해관로 41-2 (중앙동2가 49-31)  일원","-","600-4556","노상","76","09:00","20:00","09:00","20:00","09:00","20:00","1","500","0","0","129.035","35.103","02/18/2019","공영","-","-","-","10","10","500","-","-","-","-"
"민간위탁","부산광역시 수영구청","민락매립지공영주차장","2007011150","수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46)","-","051-757-5055","노외","128","00:00","24:00","00:00","24:00","00:00","24:00","2","300","8000","160000","129.127","35.155","05/22/2015","공영","-","-","-","10","10","300","-","-","-","-"
"민간위탁","부산광역시 수영구청","망미동(번영로하부)공영주차장","2009000009","-","수영구 망미2동 603-2","-","노상","95","08:00","20:00","08:00","20:00","00:00","00:00","4","100","2400","52000","-","-","02/11/2020","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 수영구청","광안동(번영로하부)공영주차장","2009000010","-","수영구 광안3동 1033-2","-","노상","84","08:00","20:00","08:00","20:00","08:00","20:00","4","100","2400","52000","-","-","11/01/2018","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 수영구청","망미동 노외공영주차장","2012000001","수영구 금련로43번길 43-18 (망미동 970-41) 망미동노외공영주차장 (망미동 979-73)","-","-","노외","171","00:00","24:00","00:00","24:00","00:00","24:00","4","100","2400","52000","-","-","05/22/2015","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 수영구청","광안리해수욕장공영주차장","2009000004","수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3)","-","-","노외","54","00:00","24:00","00:00","24:00","00:00","24:00","2","500","15000","240000","129.116","35.155","05/22/2015","공영","-","-","-","10","10","500","-","-","-","-"
"민간위탁","부산광역시 수영구청","남천1동공영주차장","2007001294","-","수영구 남천1동 568","-","노상","66","10:00","22:00","10:00","22:00","00:00","00:00","3","200","4700","90000","129.111","35.138","02/11/2020","공영","-","-","-","10","10","200","-","-","-","-"
"민간위탁","부산광역시 사상구청","동신운수옆복개공영주차장","2016000001","사상구 가야대로230번길 3 (주례동 1160-53)","-","-","노상","91","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.998","35.15","12/11/2018","공영","-","-","-","10","10","100","-","-","-","-"
"시설관리공단위탁","부산광역시 사상구청","삼락재첩거리","2016000004","사상구 낙동대로1518번길 26 (삼락동 71-10) 삼락동","-","051-301-6485","노외","127","00:00","24:00","00:00","24:00","00:00","24:00","4","100","2400","52000","-","-","02/04/2019","공영","-","-","-","10","10","100","-","-","-","-"
"구(군)직영","부산광역시 사상구청","곡상골공원주거지주차장","2016000005","사상구 백양대로979번라길 25 (모라동 1335-15)","-","-","노외","5","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","128.991","35.193","09/01/2016","공영","-","-","-","10","10","0","-","-","-","-"
"민간위탁","부산광역시 사상구청","학장천공영주차장","2016000007","사상구 학장로 256 (주례동 1287)","-","-","노외","90","00:00","24:00","00:00","24:00","00:00","24:00","4","100","2400","52000","128.995","35.145","01/18/2019","공영","-","-","-","10","10","100","-","-","-","-"
"구(군)직영","부산광역시 사상구청","한신1차아파트주변","2007001599","-","사상구 괘법동 516-56","-","노외","39","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","07/15/2014","공영","-","-","-","10","10","0","-","-","-","-"
"민간위탁","부산광역시 사상구청","한국강관주변","2007001158","사상구 학장로135번길 24-9 (학장동 237-2)","-","051-310-4502","노상","356","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.983","35.143","06/03/2019","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","신일금속주변","2007001505","사상구 장인로77번길 116 (학장동 723-1)","-","051-310-4503","노상","389","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.979","35.147","12/06/2019","공영","-","-","-","10","10","100","-","-","-","-"
"시설관리공단위탁","부산광역시 사상구청","덕포공영","2008000006","-","사상구 덕포2동 393-6","010-8521-2233","노외","128","00:00","24:00","00:00","24:00","00:00","24:00","4","100","2400","52000","-","-","12/27/2018","공영","-","-","-","10","10","100","-","-","-","-"
"시설관리공단위탁","부산광역시 사상구청","서부터미널","2008000009","-","사상구 괘법동 572-1","010-8521-2233","노상","136","08:00","19:00","08:00","19:00","10:00","18:00","1","500","15000","0","-","-","12/27/2018","공영","-","-","-","10","10","500","-","-","-","-"
"구(군)직영","부산광역시 사상구청","삼락재첩거리주변","2012000005","-","사상구 삼락동 54-13","051-310-4501","노외","29","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/15/2014","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","경남정보대학주변","2013000003","-","사상구 주례2동 80-2","051-310-4501","노외","11","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/15/2014","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","삼락생태공원주거지","2013000004","-","사상구 삼락동 419-20","051-310-4501","노외","10","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/15/2014","공영","-","-","-","10","10","0","-","-","-","-"
"민간위탁","부산광역시 사상구청","고동바위공영주차장","2013000006","사상구 백양대로907번다길 6 (모라동 1359)","-","051-310-4502","노외","41","00:00","24:00","00:00","24:00","00:00","24:00","4","100","2400","52000","128.99","35.188","12/12/2018","공영","-","-","-","10","10","100","-","-","-","-"
"구(군)직영","부산광역시 사상구청","덕포한내마을","2013000007","-","사상구 덕포1동 422-4","051-310-4501","노외","17","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/15/2014","공영","-","-","-","10","10","0","-","-","-","-"
"구(군)직영","부산광역시 사상구청","현대골드빌라주변","2014000005","사상구 사상로277번나길 26 (사상구 삼락동 417-18)","-","051-310-4501","노외","22","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/15/2014","공영","-","-","-","10","10","0","-","-","-","-"
"시설관리공단위탁","부산광역시 사상구청","삼락천로 공영주차장","2014000006","-","사상구 덕포2동 393-2","010-8521-2233","노외","112","00:00","24:00","00:00","24:00","00:00","24:00","4","100","2400","52000","-","-","12/27/2018","공영","-","-","-","10","10","100","-","-","-","-"
"구(군)직영","부산광역시 사상구청","안각1길주거지주차장","2014000007","사상구 백양대로907번길 17 (모라동 391)","-","-","노외","12","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","02/07/2017","공영","-","-","-","10","10","0","-","-","-","-"
"민간위탁","부산광역시 사상구청","모라중학교 지하 공영주차장","2019000003","사상구 백양대로 936 (모라동 1348)","-","-","노외","136","00:00","24:00","00:00","24:00","00:00","24:00","-","-","-","-","128.993","35.19","07/23/2019","공영","-","-","-","10","10","-","-","-","-","-"
"민간위탁","부산광역시 사상구청","감전역역세권공영주차장","2019000004","사상구 새벽시장로 135 (감전동 134-7)","-","-","노외","215","00:00","24:00","00:00","24:00","00:00","24:00","3","200","4700","0","128.989","35.154","12/02/2019","공영","-","-","-","10","10","200","-","-","-","-"
"민간위탁","부산광역시 사상구청","덕포백양공원공영주차장","2015000001","사상구 백양대로762번길 17 (덕포동 776-1)","-","051-310-4502","노외","50","00:00","24:00","00:00","24:00","00:00","24:00","4","100","2400","52000","128.99","35.175","12/07/2018","공영","-","-","-","10","10","100","-","-","-","-"
"구(군)직영","부산광역시 사상구청","늘푸른사상","2015000002","사상구 백양대로979번가길 14 (모라동 1330-5)","-","-","노외","10","00:00","24:00","00:00","24:00","00:00","24:00","4","-","-","40000","-","-","06/15/2015","공영","-","-","-","10","10","-","-","-","-","-"
"민간위탁","부산광역시 사상구청","감전시장주변","2007001085","사상구 괘감로 132 (감전동 119-6)","-","051-310-4502","노상","111","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.988","35.156","03/27/2019","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","주례역공영주차장","2015000003","사상구 가야대로 288 (주례동 506)","-","-","노상","22","08:00","20:00","08:00","15:00","00:00","00:00","2","300","8000","0","129.004","35.15","12/11/2018","공영","-","-","-","10","10","300","-","-","-","-"
"민간위탁","부산광역시 사상구청","주례오거리공영주차장","2015000004","사상구 가야대로255번길 1 (주례동 743-2)","-","-","노상","95","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","129","35.151","12/11/2018","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","양지2공원주변","2007011018","사상구 양지로 18 (주례동 314)","-","051-310-4503","노외","74","00:00","24:00","00:00","24:00","00:00","24:00","4","100","2400","52000","129.004","35.154","12/12/2018","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","사상초등학교주변","2007001339","사상구 운산로 81 (덕포동 752-3)","-","051-310-4502","노상","33","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.985","35.168","01/18/2019","공영","-","-","-","10","10","100","-","-","-","-"
"구(군)직영","부산광역시 사상구청","남산길주변","2007001789","-","사상구 엄궁동 192","051-310-4501","노외","15","00:00","24:00","00:00","24:00","00:00","24:00","4","0","0","40000","-","-","08/27/2015","공영","-","-","-","10","10","0","-","-","-","-"
"민간위탁","부산광역시 사상구청","사상전화국주변","2007001459","사상구 가야대로176번길 53 (학장동 281-9)","-","051-310-4503","노상","271","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.992","35.147","06/03/2019","공영","-","-","-","10","10","100","-","-","-","-"
"민간위탁","부산광역시 사상구청","파라곤호텔주변","2007001087","사상구 광장로 34 (괘법동 565-6)","-","051-310-4502","노상","34","08:00","20:00","08:00","15:00","00:00","00:00","4","100","2400","0","128.98","35.162","12/12/2018","공영","-","-","-","10","10","100","-","-","-","-"
"시설관리공단위탁","부산광역시 사상구청","사상역광장","2007001793","-","사상구 괘법동 572-1","051-860-7705","노외","360","00:00","24:00","00:00","24:00","00:00","24:00","2","300","8000","0","-","-","02/04/2019","공영","-","-","-","10","10","300","-","-","-","-"
"구(군)직영","부산광역시 강서구청","범방동1859-15,1854-6","2019000009","강서구","-","-","노외","13","00:00","24:00","00:00","24:00","00:00","24:00","-","-","-","-","-","-","06/18/2019","공영","-","-","-","10","10","-","-","-","-","-"
"구(군)직영","부산광역시 강서구청","명지동3174-38","2019000018","강서구","-","-","노외","18","00:00","24:00","00:00","24:00","00:00","24:00","-","-","-","-","-","-","09/18/2019","공영","-","-","-","10","10","-","-","-","-","-"
"구(군)직영","부산광역시 강서구청","범방동1859-2","2019000003","강서구","-","-","노외","7","00:00","24:00","00:00","24:00","00:00","24:00","-","-","-","-","-","-","06/18/2019","공영","-","-","-","10","10","-","-","-","-","-"
"구(군)직영","부산광역시 강서구청","범방동1849-8","2019000005","강서구","-","-","노외","9","00:00","24:00","00:00","24:00","00:00","24:00","-","-","-","-","-","-","06/18/2019","공영","-","-","-","10","10","-","-","-","-","-"
"구(군)직영","부산광역시 강서구청","범방동1848-3","2019000007","강서구","-","-","노외","8","00:00","24:00","00:00","24:00","00:00","24:00","-","-","-","-","-","-","06/18/2019","공영","-","-","-","10","10","-","-","-","-","-"
"구(군)직영","부산광역시 강서구청","범방동1845","2019000008","강서구","-","-","노외","25","00:00","24:00","00:00","24:00","00:00","24:00","-","-","-","-","-","-","06/18/2019","공영","-","-","-","10","10","-","-","-","-","-"
"구(군)직영","부산광역시 강서구청","동선동1066-1,3","2019000011","강서구","-","-","노외","30","00:00","24:00","00:00","24:00","00:00","24:00","-","-","-","-","-","-","06/18/2019","공영","-","-","-","10","10","-","-","-","-","-"
"구(군)직영","부산광역시 강서구청","천성동1642-2","2019000012","강서구","-","-","노외","14","00:00","24:00","00:00","24:00","00:00","24:00","-","-","-","-","-","-","02/13/2020","공영","-","-","-","10","10","-","-","-","-","-"
